model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,score0,score1,score2
BAAI/bge-large-en-v1.5,standard_deviation,2.4000000000000004,50,0.007552118663229774,[0.006172839506172839, 0.0, 0.016483516483516484]
BAAI/bge-large-en-v1.5,standard_deviation,2.4000000000000004,100,0.007552118663229774,[0.006172839506172839, 0.0, 0.016483516483516484]
BAAI/bge-large-en-v1.5,standard_deviation,2.5,50,0.007954631955545405,[0.006622516556291391, 0.0, 0.017241379310344827]
BAAI/bge-large-en-v1.5,standard_deviation,2.5,100,0.007954631955545405,[0.006622516556291391, 0.0, 0.017241379310344827]
BAAI/bge-large-en-v1.5,standard_deviation,2.6,50,0.008302838766910623,[0.006944444444444444, 0.0, 0.017964071856287425]
BAAI/bge-large-en-v1.5,standard_deviation,2.6,100,0.008302838766910623,[0.006944444444444444, 0.0, 0.017964071856287425]
BAAI/bge-large-en-v1.5,standard_deviation,2.7,50,0.00855859796459919,[0.007042253521126761, 0.0, 0.018633540372670808]
BAAI/bge-large-en-v1.5,standard_deviation,2.7,100,0.00855859796459919,[0.007042253521126761, 0.0, 0.018633540372670808]
BAAI/bge-large-en-v1.5,standard_deviation,2.8000000000000003,50,0.008794529262086513,[0.007633587786259542, 0.0, 0.01875]
BAAI/bge-large-en-v1.5,standard_deviation,2.8000000000000003,100,0.008794529262086513,[0.007633587786259542, 0.0, 0.01875]
BAAI/bge-large-en-v1.5,standard_deviation,2.9000000000000004,50,0.006838374762903065,[0.007936507936507936, 0.0, 0.012578616352201259]
BAAI/bge-large-en-v1.5,standard_deviation,2.9000000000000004,100,0.006838374762903065,[0.007936507936507936, 0.0, 0.012578616352201259]
BAAI/bge-large-en-v1.5,standard_deviation,3.0,50,0.007178007178007179,[0.008547008547008548, 0.0, 0.012987012987012988]
BAAI/bge-large-en-v1.5,standard_deviation,3.0,100,0.007178007178007179,[0.008547008547008548, 0.0, 0.012987012987012988]
BAAI/bge-large-en-v1.5,standard_deviation,3.1,50,0.007234967761283551,[0.008547008547008548, 0.0, 0.013157894736842105]
BAAI/bge-large-en-v1.5,standard_deviation,3.1,100,0.007234967761283551,[0.008547008547008548, 0.0, 0.013157894736842105]
BAAI/bge-large-en-v1.5,standard_deviation,3.2,50,0.007293447293447293,[0.008547008547008548, 0.0, 0.013333333333333334]
BAAI/bge-large-en-v1.5,standard_deviation,3.2,100,0.007293447293447293,[0.008547008547008548, 0.0, 0.013333333333333334]
BAAI/bge-large-en-v1.5,standard_deviation,3.3000000000000003,50,0.004597701149425287,[0.0, 0.0, 0.013793103448275862]
BAAI/bge-large-en-v1.5,standard_deviation,3.3000000000000003,100,0.004597701149425287,[0.0, 0.0, 0.013793103448275862]
BAAI/bge-large-en-v1.5,standard_deviation,3.4000000000000004,50,0.004662004662004662,[0.0, 0.0, 0.013986013986013986]
BAAI/bge-large-en-v1.5,standard_deviation,3.4000000000000004,100,0.004662004662004662,[0.0, 0.0, 0.013986013986013986]
BAAI/bge-large-en-v1.5,standard_deviation,3.5,50,0.002347417840375587,[0.0, 0.0, 0.007042253521126761]
BAAI/bge-large-en-v1.5,standard_deviation,3.5,100,0.002347417840375587,[0.0, 0.0, 0.007042253521126761]
BAAI/bge-large-en-v1.5,standard_deviation,3.6,50,0.0023809523809523807,[0.0, 0.0, 0.007142857142857143]
BAAI/bge-large-en-v1.5,standard_deviation,3.6,100,0.0023809523809523807,[0.0, 0.0, 0.007142857142857143]
BAAI/bge-large-en-v1.5,standard_deviation,3.7,50,0.0024154589371980675,[0.0, 0.0, 0.007246376811594203]
BAAI/bge-large-en-v1.5,standard_deviation,3.7,100,0.0024154589371980675,[0.0, 0.0, 0.007246376811594203]
BAAI/bge-large-en-v1.5,standard_deviation,3.8000000000000003,50,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,standard_deviation,3.8000000000000003,100,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,standard_deviation,3.9000000000000004,50,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,standard_deviation,3.9000000000000004,100,0.0024691358024691358,[0.0, 0.0, 0.007407407407407408]
BAAI/bge-large-en-v1.5,interquartile,0.1,50,0.04376442411154894,[0.03506311360448808, 0.026785714285714284, 0.06944444444444445]
BAAI/bge-large-en-v1.5,interquartile,0.1,100,0.04376442411154894,[0.03506311360448808, 0.026785714285714284, 0.06944444444444445]
BAAI/bge-large-en-v1.5,interquartile,0.2,50,0.038197104517211485,[0.03680981595092025, 0.014563106796116505, 0.06321839080459771]
BAAI/bge-large-en-v1.5,interquartile,0.2,100,0.038197104517211485,[0.03680981595092025, 0.014563106796116505, 0.06321839080459771]
BAAI/bge-large-en-v1.5,interquartile,0.30000000000000004,50,0.03185415757697584,[0.02385008517887564, 0.010362694300518135, 0.06134969325153374]
BAAI/bge-large-en-v1.5,interquartile,0.30000000000000004,100,0.03185415757697584,[0.02385008517887564, 0.010362694300518135, 0.06134969325153374]
BAAI/bge-large-en-v1.5,interquartile,0.4,50,0.030601432006971487,[0.020637898686679174, 0.011299435028248588, 0.0598669623059867]
BAAI/bge-large-en-v1.5,interquartile,0.4,100,0.030601432006971487,[0.020637898686679174, 0.011299435028248588, 0.0598669623059867]
BAAI/bge-large-en-v1.5,interquartile,0.5,50,0.02580939591809157,[0.012422360248447204, 0.012121212121212121, 0.052884615384615384]
BAAI/bge-large-en-v1.5,interquartile,0.5,100,0.02580939591809157,[0.012422360248447204, 0.012121212121212121, 0.052884615384615384]
BAAI/bge-large-en-v1.5,interquartile,0.6000000000000001,50,0.021770916593551067,[0.013245033112582781, 0.012903225806451613, 0.0391644908616188]
BAAI/bge-large-en-v1.5,interquartile,0.6000000000000001,100,0.021770916593551067,[0.013245033112582781, 0.012903225806451613, 0.0391644908616188]
BAAI/bge-large-en-v1.5,interquartile,0.7000000000000001,50,0.02084945673969452,[0.014285714285714285, 0.006711409395973154, 0.04155124653739612]
BAAI/bge-large-en-v1.5,interquartile,0.7000000000000001,100,0.02084945673969452,[0.014285714285714285, 0.006711409395973154, 0.04155124653739612]
BAAI/bge-large-en-v1.5,interquartile,0.8,50,0.01959127411229757,[0.016172506738544475, 0.006993006993006993, 0.03560830860534125]
BAAI/bge-large-en-v1.5,interquartile,0.8,100,0.01959127411229757,[0.016172506738544475, 0.006993006993006993, 0.03560830860534125]
BAAI/bge-large-en-v1.5,interquartile,0.9,50,0.020028401076732334,[0.015060240963855422, 0.007407407407407408, 0.03761755485893417]
BAAI/bge-large-en-v1.5,interquartile,0.9,100,0.020028401076732334,[0.015060240963855422, 0.007407407407407408, 0.03761755485893417]
BAAI/bge-large-en-v1.5,interquartile,1.0,50,0.020207836627372775,[0.01607717041800643, 0.007633587786259542, 0.03691275167785235]
BAAI/bge-large-en-v1.5,interquartile,1.0,100,0.020207836627372775,[0.01607717041800643, 0.007633587786259542, 0.03691275167785235]
BAAI/bge-large-en-v1.5,interquartile,1.1,50,0.020132676675958517,[0.0136986301369863, 0.007692307692307693, 0.03900709219858156]
BAAI/bge-large-en-v1.5,interquartile,1.1,100,0.020132676675958517,[0.0136986301369863, 0.007692307692307693, 0.03900709219858156]
BAAI/bge-large-en-v1.5,interquartile,1.2000000000000002,50,0.019102474117065976,[0.014760147601476014, 0.008064516129032258, 0.034482758620689655]
BAAI/bge-large-en-v1.5,interquartile,1.2000000000000002,100,0.019102474117065976,[0.014760147601476014, 0.008064516129032258, 0.034482758620689655]
BAAI/bge-large-en-v1.5,interquartile,1.3,50,0.016048441734417346,[0.015625, 0.0, 0.032520325203252036]
BAAI/bge-large-en-v1.5,interquartile,1.3,100,0.016048441734417346,[0.015625, 0.0, 0.032520325203252036]
